,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
6122,2018-04-09,"['bastasse', 'trágico', 'incêndio', 'museu', 'nacional', 'decisão', 'stf', 'favor', 'terceirização', 'irrestrita', 'governo', 'ilegítimo', 'temer', 'integralmente', 'apoiado', 'integrado', 'psdb', 'agora', 'decidiu', 'atacar', 'bolsa', 'família']","[0, 246]",538,257,2018
5010,2018-04-09,"['dez', 'anos', 'presidente', 'lula', 'lançava', 'reuni', 'programa', 'apoio', 'planos', 'reestruturação', 'expansão', 'universidades', 'federais']","[0, 132]",250,74,2018
376,2018-04-09,"['viu', 'programa', 'eleitoral', 'coligação', 'povo', 'feliz', 'novo', 'desta', 'noite', 'assista', 'compartilhe']","[0, 101]",2074,1063,2018
11246,2018-04-09,"['hoje', '15h', 'página', 'anticast', 'áudio', 'inédito', 'entrevista', 'deu', 'origem', 'livro', 'verdade', 'vencerá', 'editora', 'editoraboitempo', 'lula', 'meses', 'antes', 'tornarse', 'preso', 'político', 'reflexões', 'sobre', 'brasil']","[0, 221]",520,220,2018
13423,2018-04-09,"['antropólogo', 'luiz', 'eduardo', 'soares', 'representante', 'coligação', 'povo', 'feliz', 'novo', 'apresentou', 'propostas', 'plano', 'governo', 'pt', 'sobre', 'tema', 'focadas', 'especialmente', 'redução', 'homicídios', 'promoção', 'políticas', 'juventudes']","[0, 267]",291,100,2018
3295,2018-04-09,"['dez', 'anos', 'educação', 'tratada', 'gasto', 'governo', 'temer', 'brasil', 'caminhou', 'trás', 'várias', 'dessas', 'conquistas', 'foto', 'ricardo', 'stuckert']","[0, 154]",116,40,2018
8435,2018-04-09,"['conformo', 'ter', 'sido', 'condenado', 'ficha', 'limpa', 'crime', 'existiu', 'tribunais', 'superiores', 'poderiam', 'reparar', 'injustiça', 'julgando', 'mérito', 'antes', 'eleições', 'pautam', 'votação', 'vão', 'julgar', 'sido', 'alijado', 'processo', 'eleitoral']","[0, 274]",6699,1653,2018
12028,2018-04-10,"['denúncia', 'fernando', 'morais', 'mino', 'carta', 'impedidos', 'visitar', 'lula', 'prisão']","[0, 102]",142,41,2018
3686,2018-04-10,"['visitei', 'lula', 'preso', 'ditadura', 'militar', 'impedido', 'visitalo', 'dita', 'democracia', 'volto', 'paulo', 'envergonhado', 'fernando', 'morais', 'após', 'impedido', 'visitar', 'lula']","[0, 195]",767,296,2018
3381,2018-04-10,"['ninguém', 'apaga', 'história', 'menino', 'caetés', 'sobreviveu', 'fome', 'chegar', 'presidência', 'tirar', 'milhões', 'brasileiros', 'miséria', 'agora', 'lula', 'haddadfernando', 'vote13', 'lulaéhaddad']","[0, 188]",734,261,2018
2471,2018-04-10,"['bom', 'dia', 'vamos', 'frente', 'muita', 'garra', 'ganhar', 'eleição', 'trazer', 'governo', 'democrático', 'povo', 'volta', 'lulaéhaddad', 'vote13']","[0, 139]",746,232,2018
