,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
3522,2016-02-02,"['detected', 'disso', 'falando', 'post', 'anterior']","[0, 77]",97,21,2016
5176,2016-02-02,"['propriedade', 'privada', 'sagrada', 'vc', 'pode', 'defendêla', 'leis', 'armas', 'porque', 'privada', 'estado']","[0, 140]",899,594,2016
4069,2016-02-03,"['justiça', 'gostaria', 'ver', 'interesse', 'grande', 'mídia', 'absolvido', 'tanto', 'quanto', 'denunciado']","[0, 134]",855,553,2016
41,2016-02-03,"['hoje', '22h', 'programa', 'ratinho', 'fosfatoetanolamina', 'ajuda', 'pacientes', 'câncer', 'assista', 'saiba', 'detalhes']","[0, 139]",424,162,2016
482,2016-02-03,"['filiação', 'psc', 'missão', 'soldado', 'prol', 'brasil', 'verdadeiramente', 'direito', '🇧🇷']","[0, 124]",711,254,2016
3692,2016-02-03,"['conversa', 'cperuanos', 'sobre', 'escândalos', 'corrupção', 'governo', 'petista', 'derivações', 'plano', 'poder', 'co', 'forodesp']","[0, 140]",375,152,2016
5806,2016-02-04,"['objetivo', 'estatuto', 'desarmamento', 'tomar', 'propriedade', 'possas', 'oferecer', 'qualquer', 'resistência']","[0, 133]",1287,862,2016
2709,2016-02-04,"['governo', 'justo', 'país', 'segurança', 'cobra', 'impostos', 'demais', 'nação', 'acaba', 'desgraça']","[0, 133]",1435,816,2016
1919,2016-02-05,"['viva', 'liberdade', 'expressão', 'poucos', 'máscara', 'todos', 'vão', 'caindo']","[0, 77]",1198,524,2016
3392,2016-02-05,"['dia244', '60', 'protestaram', 'contra', 'mim', 'jornais', 'tvs', 'procuraram', 'ontem', 'd300', 'pme', 'apoiar', 'nenhuma', 'tv', 'rádio', 'jornal', 'procurou', 'reflita']","[0, 140]",1848,755,2016
3004,2016-02-08,"['soldados', 'marinha', 'exército', 'aeronáutica', 'recebem', 'título', 'representação', 'r25dia', 'serviço', 'olimpíadas']","[0, 139]",373,125,2016
4839,2016-02-08,"['hoje', 'vi', 'comar', 'formatura', 'novos', 'batedores', 'parabéns', 'todos', 'motociclistas', 'brasil', 'contem', 'comigo']","[0, 134]",283,40,2016
5489,2016-02-09,"['cada', 'vez', 'exército', 'jovens', 'desperta', 'valores', 'essenciais', 'sociedade', 'sadia', '🇧🇷🇧🇷🇧🇷']","[0, 102]",1396,371,2016
628,2016-02-09,"['mentiras', 'pt', 'ganhou', 'eleições', 'somente', 'verdades', 'grande', 'nação']","[0, 85]",1456,471,2016
