,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
4056,2018-09-21,"['obrigado', 'moleque', 'abraço', 'sorocaba', '👍🏻']","[0, 41]",18894,3039,2018
4211,2018-09-21,"['votei', 'revogação', 'cpmf', 'câmara', 'deputados', 'nunca', 'cogitei', 'volta', 'equipe', 'econômica', 'sempre', 'descartou', 'qualquer', 'aumento', 'impostos', 'espalha', 'mentiroso', 'irresponsável', 'livre', 'mercado', 'menos', 'impostos', 'lema', 'economia']","[0, 253]",37338,10302,2018
1228,2018-09-21,"['enquanto', 'adversários', 'dedicam', 'milhões', 'campanha', 'ataques', 'covardes', 'contra', 'brasil', 'sofre', '60', 'mil', 'homicídios', 'ano', '14', 'milhões', 'desempregados', '50', 'mil', 'estupros', 'diferença', 'preocupação', 'poder', 'qualquer', 'custo', 'futuro', 'país']","[0, 280]",40958,11557,2018
2848,2018-09-21,"['menos', 'impostos', 'desburocratização', 'preciso', 'parar', 'sufocar', 'produz', 'enquanto', 'adversários', 'mentem', 'preocupam', 'somente', 'poder', 'qualquer', 'custo', 'time', 'foca', 'futuro', 'país']","[0, 194]",30772,7660,2018
534,2018-09-21,"['má', 'notícia', 'restou', 'torcer', 'contra', 'saúde', 'recuperação', 'nunca', 'senti', 'tão', 'feliz', 'bem', 'voltando', 'juntos', 'fazermos', 'brasil', 'grande', 'nação', '🇧🇷']","[0, 175]",77378,17475,2018
971,2018-09-22,"['usagifluffy', '🌷👍🏻bom', 'dia']","[13, 24]",641,33,2018
3309,2018-09-22,"['forte', 'abraço', 'paraná']","[0, 24]",7793,1584,2018
827,2018-09-22,"['obrigado', 'joão', 'pessoa', 'forte', 'abraço', 'paraíba']","[0, 51]",30430,5623,2018
5015,2018-09-22,"['entenda', 'preconceito']","[0, 28]",24189,6672,2018
5447,2018-09-22,"['pontes', 'lacerda', 'mt', 'obrigado']","[0, 38]",11238,2212,2018
1590,2018-09-22,"['sinceros', 'agradecimentos', 'pará', '👍🏻']","[0, 40]",11864,2022,2018
1179,2018-09-22,"['tempos', 'percorrido', 'brasil', 'norte', 'sul', 'conhecendo', 'peculiaridades', 'cada', 'região', 'importamos', 'país', 'apenas', 'períodos', 'eleitorais', 'oportunismo', 'político', 'habitual', 'sempre', 'construímos', 'confiança', 'olho', 'olho', 'juntos', 'vamos', 'resgatar', 'nação']","[0, 280]",30749,5688,2018
2750,2018-09-22,"['obrigado', 'guabiruba', 'forte', 'abraço', 'santa', 'catarina']","[0, 56]",15927,2901,2018
2535,2018-09-22,"['forte', 'abraço', 'ceará']","[0, 25]",10228,1778,2018
830,2018-09-22,"['heltono52089192', '👍🏻👉🏻👉🏻']","[17, 23]",898,49,2018
5264,2018-09-22,"['obrigado', 'minas', 'gerais', '🇧🇷👍🏻']","[0, 28]",12456,2475,2018
